
Duration (in seconds) (Duration__in_seconds_) <numeric>
# total N=2457  valid N=2457  mean=1773.72  sd=11921.32

Value |   N | Raw % | Valid % | Cum. %
--------------------------------------
6     |   2 |  0.08 |    0.08 |   0.08
7     |   4 |  0.16 |    0.16 |   0.24
8     |   2 |  0.08 |    0.08 |   0.33
10    |   2 |  0.08 |    0.08 |   0.41
12    |   6 |  0.24 |    0.24 |   0.65
14    |   4 |  0.16 |    0.16 |   0.81
15    |   4 |  0.16 |    0.16 |   0.98
16    |   4 |  0.16 |    0.16 |   1.14
18    |   3 |  0.12 |    0.12 |   1.26
19    |   6 |  0.24 |    0.24 |   1.51
20    |   3 |  0.12 |    0.12 |   1.63
21    |   6 |  0.24 |    0.24 |   1.87
22    |   5 |  0.20 |    0.20 |   2.08
23    |   4 |  0.16 |    0.16 |   2.24
24    |   5 |  0.20 |    0.20 |   2.44
25    |   5 |  0.20 |    0.20 |   2.65
26    |   3 |  0.12 |    0.12 |   2.77
27    |   6 |  0.24 |    0.24 |   3.01
29    |   2 |  0.08 |    0.08 |   3.09
30    |   3 |  0.12 |    0.12 |   3.22
31    |   5 |  0.20 |    0.20 |   3.42
32    |   2 |  0.08 |    0.08 |   3.50
33    |   4 |  0.16 |    0.16 |   3.66
34    |   5 |  0.20 |    0.20 |   3.87
36    |   3 |  0.12 |    0.12 |   3.99
38    |   2 |  0.08 |    0.08 |   4.07
42    |   3 |  0.12 |    0.12 |   4.19
43    |   3 |  0.12 |    0.12 |   4.31
44    |   2 |  0.08 |    0.08 |   4.40
46    |   2 |  0.08 |    0.08 |   4.48
47    |   4 |  0.16 |    0.16 |   4.64
49    |   2 |  0.08 |    0.08 |   4.72
50    |   4 |  0.16 |    0.16 |   4.88
51    |   2 |  0.08 |    0.08 |   4.97
53    |   4 |  0.16 |    0.16 |   5.13
54    |   2 |  0.08 |    0.08 |   5.21
56    |   2 |  0.08 |    0.08 |   5.29
60    |   2 |  0.08 |    0.08 |   5.37
63    |   2 |  0.08 |    0.08 |   5.45
64    |   3 |  0.12 |    0.12 |   5.58
65    |   3 |  0.12 |    0.12 |   5.70
70    |   2 |  0.08 |    0.08 |   5.78
71    |   3 |  0.12 |    0.12 |   5.90
76    |   3 |  0.12 |    0.12 |   6.02
77    |   3 |  0.12 |    0.12 |   6.15
79    |   4 |  0.16 |    0.16 |   6.31
80    |   3 |  0.12 |    0.12 |   6.43
84    |   2 |  0.08 |    0.08 |   6.51
